|6.6.6
gloss1db_1.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          26
node#          P(bar)         T(K)           Stlp           Omph(GHP)      Omph(GHP)      clin           ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           COH-Fluid+     Do(HP)         diam           M(HP)          coe            Grt(JH)        ky             stv           
  579.000        57801.0        1026.32        55.4179        50.8047                 NaN   51.5284        55.4179        51.5284        55.4179        55.4179        51.5284        51.5284        33.1405        33.1405        50.8047        55.4179        54.7128        100.000        15.2178        86.5496        15.2178        86.5381        13.1853                 NaN            NaN
  580.000        57901.0        1026.76        55.3989        50.8458                 NaN   51.5696        55.3989        51.5696        55.3989        55.3989        51.5696        51.5696        33.1909        33.1909        50.8458        55.3989        54.7520        100.000        15.2683        86.5397        15.2683        86.5284        13.2336                 NaN            NaN
  581.000        58001.0        1027.20        55.3845        50.8733                 NaN   51.5972        55.3845        51.5972        55.3845        55.3845        51.5972        51.5972        33.2402        33.2402        50.8733        55.3845        54.7772        100.000        15.3174        86.5332        15.3174        86.5219        13.2826                 NaN            NaN
  582.000        58101.0        1027.63        55.3735        50.8955                 NaN   51.6194        55.3735        51.6194        55.3735        55.3735        51.6194        51.6194        33.2615        33.2615        50.8955        55.3735        54.7981        100.000        15.3391        86.5243        15.3391        86.5129        13.3108                 NaN            NaN
  583.000        58201.0        1028.07        55.3651        50.9087                 NaN   51.6326        55.3651        51.6326        55.3651        55.3651        51.6326        51.6326        33.2897        33.2897        50.9087        55.3651        54.8160        100.000        15.3670        86.5223        15.3670        86.5109        13.3430                 NaN            NaN
  584.000        58301.0        1028.51        55.3469        50.9497                 NaN   51.6737        55.3469        51.6737        55.3469        55.3469        51.6737        51.6737        33.3388        33.3388        50.9497        55.3469        54.8541        100.000        15.4162        86.5129        15.4162        86.5017        13.3891                 NaN            NaN
  585.000        58401.0        1028.94        55.3242        50.9778                 NaN   51.7019        55.3242        51.7019        55.3242        55.3242        51.7019        51.7019        33.3826        33.3826        50.9778        55.3242        54.8828        100.000        15.4720        86.5034        15.4720        86.4922        13.4462                 NaN            NaN
  586.000        58501.0        1029.37        55.3236        50.9889                 NaN   51.7130        55.3236        51.7130        55.3236        55.3236        51.7130        51.7130        33.3926        33.3926        50.9889        55.3236        54.8899        100.000        15.4819        86.5025        15.4819        86.4914        13.4569                 NaN            NaN
  587.000        58601.0        1029.81        55.2965        51.0408                 NaN   51.7650        55.2965        51.7650        55.2965        55.2965        51.7650        51.7650        33.4604        33.4604        51.0408        55.2965        54.9392        100.000        15.5499        86.4847        15.5499        86.4737        13.5270                 NaN            NaN
  588.000        58701.0        1030.23        55.2913        51.0577                 NaN   51.7819        55.2913        51.7819        55.2913        55.2913        51.7819        51.7819        33.4760        33.4760        51.0577        55.2913        54.9531        100.000        15.5657        86.4845        15.5657        86.4735        13.5405                 NaN            NaN
  589.000        58801.0        1030.66        55.2828        51.0747                 NaN   51.7990        55.2828        51.7990        55.2828        55.2828        51.7990        51.7990        33.5081        33.5081        51.0747        55.2828        54.9708        100.000        15.5975        86.4825        15.5975        86.4715        13.5731                 NaN            NaN
  590.000        58901.0        1031.09        55.2662        51.1054                 NaN   51.8298        55.2662        51.8298        55.2662        55.2662        51.8298        51.8298        33.5539        33.5539        51.1054        55.2662        54.9995        100.000        15.6433        86.4758        15.6433        86.4648        13.6178                 NaN            NaN
  591.000        59001.0        1031.52        55.2437        51.1512                 NaN   51.8756        55.2437        51.8756        55.2437        55.2437        51.8756        51.8756        33.6139        33.6139        51.1512        55.2437        55.0431        100.000        15.7034        86.4639        15.7034        86.4531        13.6758                 NaN            NaN
  592.000        59101.0        1031.94        55.2339        51.1697                 NaN   51.8942        55.2339        51.8942        55.2339        55.2339        51.8942        51.8942        33.6329        33.6329        51.1697        55.2339        55.0682        100.000        15.7226        86.4535        15.7226        86.4428        13.7079                 NaN            NaN
  593.000        59201.0        1032.37        55.2248        51.1870                 NaN   51.9115        55.2248        51.9115        55.2248        55.2248        51.9115        51.9115        33.6652        33.6652        51.1870        55.2248        55.0866        100.000        15.7547        86.4505        15.7547        86.4398        13.7419                 NaN            NaN
  594.000        59301.0        1032.79        55.1994        51.2273                 NaN   51.9519        55.1994        51.9519        55.1994        55.1994        51.9519        51.9519        33.7133        33.7133        51.2273        55.1994        55.1192        100.000        15.8151        86.4394        15.8151        86.4287        13.7968                 NaN            NaN
  595.000        59401.0        1033.21        55.1904        51.2508                 NaN   51.9754        55.1904        51.9754        55.1904        55.1904        51.9754        51.9754        33.7434        33.7434        51.2508        55.1904        55.1449        100.000        15.8449        86.4353        15.8449        86.4247        13.8276                 NaN            NaN
  596.000        59501.0        1033.63        55.1689        51.2753                 NaN   52.0000        55.1689        52.0000        55.1689        55.1689        52.0000        52.0000        33.7756        33.7756        51.2753        55.1689        55.1689        100.000        15.8770        86.4285        15.8770        86.4180        13.8598        55.1777                 NaN
  597.000        59601.0        1034.05        55.1717        51.2781                 NaN   52.0028        55.1717        52.0028        55.1717        55.1717        52.0028        52.0028        33.7772        33.7772        51.2781        55.1717        55.1717        100.000        15.8783        86.4330        15.8783        86.4224        13.8610        55.1805                 NaN
  598.000        59701.0        1034.47        55.1716        51.2742                 NaN   51.9990        55.1716        51.9990        55.1716        55.1716        51.9990        51.9990        33.7721        33.7721        51.2742        55.1716        55.1716        100.000        15.8728        86.4374        15.8728        86.4268        13.8583        55.1858                 NaN
  599.000        59801.0        1034.88        55.1756        51.2806                 NaN   52.0054        55.1756        52.0054        55.1756        55.1756        52.0054        52.0054        33.7823        33.7823        51.2806        55.1756        55.1756        100.000        15.8827        86.4418        15.8827        86.4312        13.8661        55.1875                 NaN
  600.000        59901.0        1035.30        55.1755        51.2787                 NaN   52.0036        55.1755        52.0036        55.1755        55.1755        52.0036        52.0036        33.7795        33.7795        51.2787        55.1755        55.1755        100.000        15.8793        86.4462        15.8793        86.4356        13.8640        55.1927                 NaN
  601.000        60001.0        1035.71        55.1829        51.2994                 NaN   52.0243        55.1829        52.0243        55.1829        55.1829        52.0243        52.0243        33.8097        33.8097        51.2994        55.1829        55.1829        100.000        15.9095        86.4434        15.9095        86.4329        13.8915        55.1907                 NaN
  602.000        60101.0        1036.12        55.1765        51.2868                 NaN   52.0118        55.1765        52.0118        55.1765        55.1765        52.0118        52.0118        33.7958        33.7958        51.2868        55.1765        55.1765        100.000        15.8944        86.4477        15.8944        86.4372        13.8815        55.2007                 NaN
  603.000        60201.0        1036.54        55.1833        51.2902                 NaN   52.0153        55.1833        52.0153        55.1833        55.1833        52.0153        52.0153        33.8142        33.8142        51.2902        55.1833        55.1833        100.000        15.9125        86.4521        15.9125        86.4415        13.9021        55.2001                 NaN
  604.000        60301.0        1036.94        55.1947        51.3095                 NaN   52.0346        55.1947        52.0346        55.1947        55.1947        52.0346        52.0346        33.8427        33.8427        51.3095        55.1947        55.1947        100.000        15.9414        86.4565        15.9414        86.4459        13.9241        55.1959                 NaN
  605.000        60401.0        1037.35        55.1981        51.3129                 NaN   52.0380        55.1981        52.0380        55.1981        55.1981        52.0380        52.0380        33.8474        33.8474        51.3129        55.1981        55.1981        100.000        15.9458        86.4608        15.9458        86.4503        13.9284        55.1981                 NaN
  606.000        60501.0        1037.76        55.1986        51.3141                 NaN   52.0393        55.1986        52.0393        55.1986        55.1986        52.0393        52.0393        33.8504        33.8504        51.3141        55.1986        55.1986        100.000        15.9482        86.4651        15.9482        86.4546        13.9299        55.2027                 NaN
  607.000        60601.0        1038.16        55.1970        51.3134                 NaN   52.0387        55.1970        52.0387        55.1970        55.1970        52.0387        52.0387        33.8414        33.8414        51.3134        55.1970        55.1970        100.000        15.9509        86.4682        15.9509        86.4577        13.9317        55.2029                 NaN
  608.000        60701.0        1038.57        55.2029        51.3227                 NaN   52.0480        55.2029        52.0480        55.2029        55.2029        52.0480        52.0480        33.8496        33.8496        51.3227        55.2029        55.2029        100.000        15.9592        86.4726        15.9592        86.4621        13.9368        55.2033                 NaN
  609.000        60801.0        1038.97        55.2003        51.3188                 NaN   52.0442        55.2003        52.0442        55.2003        55.2003        52.0442        52.0442        33.8602        33.8602        51.3188        55.2003        55.2003        100.000        15.9686        86.4768        15.9686        86.4663        13.9470        55.2097                 NaN
  610.000        60901.0        1039.37        55.2057        51.3251                 NaN   52.0506        55.2057        52.0506        55.2057        55.2057        52.0506        52.0506        33.8656        33.8656        51.3251        55.2057        55.2057        100.000        15.9738        86.4811        15.9738        86.4706        13.9506        55.2125                 NaN
  611.000        61001.0        1039.77        55.2125        51.3304                 NaN   52.0559        55.2125        52.0559        55.2125        55.2125        52.0559        52.0559        33.8701        33.8701        51.3304        55.2125        55.2125        100.000        15.9781        86.4854        15.9781        86.4751        13.9551        55.2154                 NaN
  612.000        61101.0        1040.17        55.2162        51.3365                 NaN   52.0620        55.2162        52.0620        55.2162        55.2162        52.0620        52.0620        33.8839        33.8839        51.3365        55.2162        55.2162        100.000        15.9915        86.4897        15.9915        86.4793        13.9666        55.2162                 NaN
