|6.6.6
gloss1d5_1.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          26
node#          P(bar)         T(K)           Stlp           Omph(GHP)      Omph(GHP)      clin           ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           COH-Fluid+     Do(HP)         diam           M(HP)          coe            Grt(JH)        ky             stv           
  1.00000        1.00000        277.053        49.5562       0.373495                 NaN   2.99654        69.1293        18.5556        30.1121        100.000        9.31637       0.978860       0.337081E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2.00000        101.000        278.749        49.5558       0.373155                 NaN   2.99520        69.1292        18.5540        30.1096        100.000        9.31531       0.978582       0.336162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3.00000        201.000        280.394        49.5344       0.647704                 NaN   3.28821        69.1029        18.6726        30.2407        100.000        9.61096        1.25338       0.285919       0.282631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4.00000        301.000        281.992        49.5034        1.43761                 NaN   4.10156        69.0432        18.9921        30.5942        100.000        10.4311        2.04389        1.09141        1.08827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5.00000        401.000        283.543        50.2545        7.14864        7.14864        8.85819        69.6792        19.7558        31.4237        100.000        15.2581        8.11609        7.14864        7.14839        7.50499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6.00000        501.000        285.048        50.8459        11.3737        11.3737        12.4241        69.8610        20.7276        32.4864        100.000        18.8580        12.4241        11.3737        11.3735        11.8097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7.00000        601.000        286.510        50.8473        12.4325        12.4325        13.4762        69.7888        21.1449        32.9472        100.000        19.9181        13.4762        12.4325        12.4322        12.8611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8.00000        701.000        287.929        50.8475        13.4291        13.4291        14.4666        69.7193        21.5373        33.3805        100.000        20.9156        14.4666        13.4291        13.4288        13.8507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9.00000        801.000        289.307        50.8483        14.3229        14.3229        15.3550        69.6578        21.8897        33.7696        100.000        21.8104        15.3550        14.3229        14.3226        14.7384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10.0000        901.000        290.646        50.8481        14.4542        14.4542        15.4856        69.6480        21.9420        33.8268        100.000        21.9420        15.4856        14.4542        14.4539        14.8689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11.0000        1001.00        291.947        50.8478        14.4553        14.4553        15.4869        69.6467        21.9434        33.8276        100.000        21.9434        15.4869        14.4553        14.4550        14.8701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12.0000        1101.00        293.212        50.8474        14.4564        14.4564        15.4883        69.6454        21.9449        33.8285        100.000        21.9449        15.4883        14.4564        14.4561        14.8714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13.0000        1201.00        294.440        50.8471        14.4575        14.4575        15.4896        69.6441        21.9463        33.8293        100.000        21.9463        15.4896        14.4575        14.4571        14.8727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14.0000        1301.00        295.635        50.8467        14.4582        14.4582        15.4905        69.6430        21.9474        33.8298        100.000        21.9474        15.4905        14.4582        14.4579        14.8735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15.0000        1401.00        296.798        50.8463        14.4593        14.4593        15.4918        69.6417        21.9487        33.8306        100.000        21.9487        15.4918        14.4593        14.4589        14.8748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16.0000        1501.00        297.928        50.8459        14.4604        14.4604        15.4932        69.6404        21.9502        33.8314        100.000        21.9502        15.4932        14.4604        14.4600        14.8761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17.0000        1601.00        299.029        50.8455        14.4616        14.4616        15.4946        69.6391        21.9516        33.8323        100.000        21.9516        15.4946        14.4616        14.4612        14.8774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18.0000        1701.00        300.100        50.8465        14.4662                 NaN   15.4984        69.6367        21.9555        33.8357        100.000        21.9555        15.4984        14.4645        14.4641        14.8811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19.0000        1801.00        301.143        50.8818        14.5631                 NaN   15.5702        69.6057        22.0254        33.9117        100.000        22.0254        15.5702        14.5195        14.5187        14.9529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  20.0000        1901.00        302.160        50.9264        14.6850                 NaN   15.6606        69.5670        22.1134        34.0075        100.000        22.1134        15.6606        14.5887        14.5875        15.0432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  21.0000        2001.00        303.151        50.9715        14.8082                 NaN   15.7520        69.5278        22.2023        34.1043        100.000        22.2023        15.7520        14.6586        14.6570        15.1345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  22.0000        2101.00        304.117        51.0170        14.9326                 NaN   15.8442        69.4883        22.2920        34.2019        100.000        22.2920        15.8442        14.7292        14.7271        15.2266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  23.0000        2201.00        305.059        51.0629        15.0583                 NaN   15.9374        69.4483        22.3827        34.3006        100.000        22.3827        15.9374        14.8005        14.7979        15.3197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  24.0000        2301.00        305.979        51.1097        15.1853                 NaN   16.0319        69.4080        22.4745        34.4008        100.000        22.4745        16.0319        14.8725        14.8695        15.4140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  25.0000        2401.00        306.878        51.2714        15.4088                 NaN   16.0270        69.4258        22.4648        34.6536        100.000        22.4648        16.0270        14.9491        14.9449        15.4088        22.6946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  26.0000        2501.00        307.756        51.2817        15.4526                 NaN   16.0709        69.4055        22.5079        34.6826        100.000        22.5079        16.0709        14.9773        14.9730        15.4526        22.7225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  27.0000        2601.00        308.615        51.2921        15.4965                 NaN   16.1148        69.3850        22.5511        34.7117        100.000        22.5511        16.1148        15.0056        15.0011        15.4965        22.7504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  28.0000        2701.00        309.454        51.3024        15.5407                 NaN   16.1591        69.3645        22.5946        34.7410        100.000        22.5946        16.1591        15.0341        15.0295        15.5407        22.7786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  29.0000        2801.00        310.276        51.3138        15.5854                 NaN   16.2039        69.3441        22.6385        34.7716        100.000        22.6385        16.2039        15.0627        15.0580        15.5854        22.8077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  30.0000        2901.00        311.081        51.3187        15.6078                 NaN   16.2263        69.3332        22.6607        34.7863        100.000        22.6607        16.2263        15.0772        15.0724        15.6078        22.8222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  31.0000        3001.00        311.870        51.3291        15.6524                 NaN   16.2709        69.3125        22.7044        34.8158        100.000        22.7044        16.2709        15.1058        15.1009        15.6524        22.8505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  32.0000        3101.00        312.644        51.3406        15.6976                 NaN   16.3162        69.2919        22.7488        34.8472        100.000        22.7488        16.3162        15.1349        15.1298        15.6976        22.8803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  33.0000        3201.00        313.404        51.3512        15.7424                 NaN   16.3611        69.2711        22.7929        34.8769        100.000        22.7929        16.3611        15.1638        15.1585        15.7424        22.9088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  34.0000        3301.00        314.150        51.3618        15.7876                 NaN   16.4063        69.2501        22.8373        34.9069        100.000        22.8373        16.4063        15.1929        15.1875        15.7876        22.9376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  35.0000        3401.00        314.883        51.3725        15.8328                 NaN   16.4516        69.2291        22.8818        34.9369        100.000        22.8818        16.4516        15.2220        15.2164        15.8328        22.9664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  36.0000        3501.00        315.604        51.1503        15.9553                 NaN   16.5772        69.0599        16.5772        34.6557        100.000        16.5772        16.5772        15.3249        15.3191        15.9553        22.6260        22.5561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  37.0000        3601.00        316.313        51.1612        16.0011                 NaN   16.6230        69.0387        16.6230        34.6862        100.000        16.6230        16.6230        15.3543        15.3484        16.0011        22.6552        22.6012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  38.0000        3701.00        317.012        51.1733        16.0477                 NaN   16.6697        69.0175        16.6697        34.7185        100.000        16.6697        16.6697        15.3841        15.3780        16.0477        22.6858        22.6471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  39.0000        3801.00        317.701        53.1365        17.2853                 NaN   17.9101        69.1672        17.9101        37.5676        100.000        17.9101        17.9101        15.8042        15.7765        17.2853        24.8189        23.7739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  40.0000        3901.00        318.381        53.6198        17.8837                 NaN   18.5092        69.0398        18.5092        38.3665        100.000        18.5092        18.5092        16.1084        16.0753        17.8837        25.4611        24.3447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  41.0000        4001.00        319.052        54.1973        18.5925                 NaN   19.2188        68.8903        19.2188        39.3142        100.000        19.2188        19.2188        16.4654        16.4261        18.5925        26.2219        25.0211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  42.0000        4101.00        319.715        54.8542        19.3886                 NaN   20.0157        68.7243        20.0157        40.3807        100.000        20.0157        20.0157        16.8609        16.8147        19.3886        27.0766        25.7814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  43.0000        4201.00        320.370        55.6113        20.2901                 NaN   20.9183        68.5392        20.9183        41.5913        100.000        20.9183        20.9183        17.2998        17.2460        20.2901        28.0444        26.6435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  44.0000        4301.00        321.018        56.4970        21.3231                 NaN   21.9524        68.3295        21.9524        42.9731        100.000        21.9524        21.9524        17.7863        17.7242        21.3231        29.1457        27.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  45.0000        4401.00        321.660        61.1338        25.2387                 NaN   25.8736        67.7939        25.8736        48.3856        100.000        25.8736        25.8736        18.7198        18.6429        25.2387        33.2362        31.5127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  46.0000        4501.00        322.296        63.5609        27.6812                 NaN   28.3191        67.3659        28.3191        51.6974        100.000        28.3191        28.3191        19.6327        19.5405        27.6812        35.8174        33.8872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  47.0000        4601.00        322.927        66.3153        30.4234                 NaN   31.0647        66.8963        31.0647        55.4424        100.000        31.0647        31.0647        20.6468        20.5373        30.4234        38.7321        36.5526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  48.0000        4701.00        323.553        66.8120        30.9140                 NaN   31.5559        66.8120        31.5559        56.1085        100.000        31.5559        31.5559        20.8228        20.7103        30.9140        39.2504        37.0305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  49.0000        4801.00        324.175        66.8132        30.9100                 NaN   31.5519        66.8132        31.5519        56.1025        100.000        31.5519        31.5519        20.8163        20.7039        30.9100        39.2458        37.0274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  50.0000        4901.00        324.792        66.8145        30.9059                 NaN   31.5479        66.8145        31.5479        56.0966        100.000        31.5479        31.5479        20.8097        20.6975        30.9059        39.2411        37.0242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  51.0000        5001.00        325.406        66.8157        30.9018                 NaN   31.5439        66.8157        31.5439        56.0906        100.000        31.5439        31.5439        20.8031        20.6910        30.9018        39.2365        37.0210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  52.0000        5101.00        326.017        66.8170        30.8978                 NaN   31.5399        66.8170        31.5399        56.0847        100.000        31.5399        31.5399        20.7965        20.6846        30.8978        39.2318        37.0179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  53.0000        5201.00        326.626        66.8182        30.8938                 NaN   31.5360        66.8182        31.5360        56.0788        100.000        31.5360        31.5360        20.7900        20.6782        30.8938        39.2272        37.0148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  54.0000        5301.00        327.232        66.8189        30.8911                 NaN   31.5333        66.8189        31.5333        56.0745        100.000        31.5333        31.5333        20.7854        20.6737        30.8911        39.2242        37.0128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  55.0000        5401.00        327.836        66.8186        30.8902                 NaN   31.5325        66.8186        31.5325        56.0723        100.000        31.5325        31.5325        20.7833        20.6717        30.8902        39.2233        37.0122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  56.0000        5501.00        328.439        66.8199        30.8862                 NaN   31.5285        66.8199        31.5285        56.0664        100.000        31.5285        31.5285        20.7768        20.6653        30.8862        39.2186        37.0091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  57.0000        5601.00        329.040        66.8212        30.8822                 NaN   31.5246        66.8212        31.5246        56.0605        100.000        31.5246        31.5246        20.7703        20.6589        30.8822        39.2140        37.0060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  58.0000        5701.00        329.640        66.8224        30.8781                 NaN   31.5206        66.8224        31.5206        56.0545        100.000        31.5206        31.5206        20.7637        20.6524        30.8781        39.2093        37.0029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  59.0000        5801.00        330.240        66.8378        30.8572                 NaN   31.4997        66.8378        31.4997        56.0538        100.000        31.4997        31.4997        20.7395        20.6284        30.8572        39.2044        36.9830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  60.0000        5901.00        330.840        66.8391        30.8531                 NaN   31.4957        66.8391        31.4957        56.0478        100.000        31.4957        31.4957        20.7329        20.6219        30.8531        39.1997        36.9798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  61.0000        6001.00        331.440        66.8387        30.8528                 NaN   31.4954        66.8387        31.4954        56.0464        100.000        31.4954        31.4954        20.7316        20.6207        30.8528        39.1994        36.9798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  62.0000        6101.00        332.039        66.8395        30.8496                 NaN   31.4923        66.8395        31.4923        56.0415        100.000        31.4923        31.4923        20.7263        20.6155        30.8496        39.1958        36.9773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  63.0000        6201.00        332.639        66.8408        30.8456                 NaN   31.4883        66.8408        31.4883        56.0355        100.000        31.4883        31.4883        20.7197        20.6090        30.8456        39.1911        36.9741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  64.0000        6301.00        333.240        66.8421        30.8415                 NaN   31.4843        66.8421        31.4843        56.0296        100.000        31.4843        31.4843        20.7131        20.6026        30.8415        39.1865        36.9710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  65.0000        6401.00        333.842        66.8434        30.8375                 NaN   31.4803        66.8434        31.4803        56.0237        100.000        31.4803        31.4803        20.7065        20.5961        30.8375        39.1818        36.9679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  66.0000        6501.00        334.445        100.000        34.4043                 NaN   35.1312        100.000        35.1312        87.5331        100.000        35.1312        35.1312        23.2979        23.1767        34.4043        55.5446        41.2785        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  67.0000        6601.00        335.049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  68.0000        6701.00        335.654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  69.0000        6801.00        336.262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  70.0000        6901.00        336.870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  71.0000        7001.00        337.481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  72.0000        7101.00        338.094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  73.0000        7201.00        338.709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  74.0000        7301.00        339.326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  75.0000        7401.00        339.945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  76.0000        7501.00        340.567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
