|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  5.10000        52.0000        27.5549        63.8946        5.83269        47.0747        2.94406        17.1477        100.000        3.78974        2.45350                 NaN
  5.20000        53.0000        27.6058        63.8812        5.77397        47.1328        2.99598        17.1859        100.000        3.84234        2.51122                 NaN
  5.30000        54.0000        27.6732        63.8637        5.73198        47.1902        3.05089        17.2057        100.000        3.89786        2.55513                 NaN
  5.40000        55.0000        27.7163        63.8468        5.67175        47.2452        3.10452        17.2322        100.000        3.95221        2.61542                 NaN
  5.50000        56.0000        27.7777        63.8322        5.61996        47.2888        3.16371        17.2548        100.000        4.01207        2.67260                 NaN
  5.60000        57.0000        27.8237        63.8177        5.56397        47.3473        3.21974        17.2894        100.000        4.06879        2.73116                 NaN
  5.70000        58.0000        27.8835        63.8001        5.51690        47.4048        3.28003        17.3120        100.000        4.12975        2.78461                 NaN
  5.80000        59.0000        27.9327        63.7822        5.45973        47.4601        3.34130        17.3359        100.000        4.19174        2.84855                 NaN
  5.90000        60.0000        27.9929        63.7672        5.40352        47.5183        3.39509        17.3708        100.000        4.24622        2.90496                 NaN
  6.00000        61.0000        28.0468        63.7516        5.35266        47.5774        3.45663        17.4008        100.000        4.30843        2.96297                 NaN
  6.10000        62.0000        28.0946        63.7365        5.29684        47.6363        3.51305        17.4339        100.000        4.36555        3.02120                 NaN
  6.20000        63.0000        28.1537        63.7190        5.24888        47.6943        3.56770        17.4580        100.000        4.42087        3.07025                 NaN
  6.30000        64.0000        28.2033        63.7015        5.19219        47.7510        3.62107        17.4844        100.000        4.47496        3.12621                 NaN
  6.40000        65.0000        28.2604        63.6877        5.13388        47.8109        3.67752        17.5241        100.000        4.53210        3.18672                 NaN
  6.50000        66.0000        28.3103        63.6743        5.08030        47.8728        3.75057        17.5616        100.000        4.60582        3.25730                 NaN
  6.60000        67.0000        28.3615        63.6597        5.02714        47.9337        3.81020        17.5960        100.000        4.66612        3.31529                 NaN
  6.70000        68.0000        28.4130        63.6443        4.97342        47.9938        3.86879        17.6285        100.000        4.72540        3.37284                 NaN
  6.80000        69.0000        28.4707        63.6260        4.92141        48.0516        3.94040        17.6504        100.000        4.79770        3.44009                 NaN
  6.90000        70.0000        28.5259        63.6109        4.86008        48.1105        3.99159        17.6884        100.000        4.84963        3.49852                 NaN
  7.00000        71.0000        28.6129        63.5876        4.83503        48.1671        3.97638        17.6954        100.000        4.83503        3.46319                 NaN
