|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  22.2000        223.000        38.9635        57.4880        5.88000        54.4293        4.92045        17.3288        100.000        5.88000        4.36789        4.36789     
  22.3000        224.000        39.0567        57.4379        5.89556        54.4874        4.93535        17.3879        100.000        5.89556        4.39576        4.39576     
  22.4000        225.000        39.1683        57.3856        5.96276        54.5479        5.00203        17.4217        100.000        5.96276        4.44121        4.44121     
  22.5000        226.000        39.2498        57.3325        5.99042        54.6045        5.02897        17.4688        100.000        5.99042        4.48165        4.48165     
  22.6000        227.000        39.3424        57.2855        6.02335        54.6669        5.06130        17.5307        100.000        6.02335        4.51660        4.51660     
  22.7000        228.000        39.4422        57.2361        6.07438        54.7290        5.11178        17.5797        100.000        6.07438        4.55820        4.55820     
  22.8000        229.000        39.5454        57.1815        6.10565        54.7852        5.14240        17.6218        100.000        6.10565        4.59165        4.59165     
  22.9000        230.000        39.6222        57.1335        6.18039        54.8504        5.21653        17.6662        100.000        6.18039        4.65412        4.65412     
  23.0000        231.000        39.7140        57.0766        6.21398        54.9050        5.24940        17.7018        100.000        6.21398        4.69504        4.69504     
  23.1000        232.000        39.8175        57.0221        6.24668        54.9618        5.28146        17.7446        100.000        6.24668        4.72914        4.72914     
  23.2000        233.000        39.9051        56.9738        6.29315        55.0251        5.32732        17.8001        100.000        6.29315        4.77438        4.77438     
  23.3000        234.000        40.0000        56.9253        6.31434        55.0846        5.34789        17.8629        100.000        6.31434        4.80369        4.80369     
  23.4000        235.000        40.1045        56.8766        6.36672        55.1485        5.39975        17.9151        100.000        6.36672        4.84367        4.84367     
  23.5000        236.000        40.2090        56.8218        6.39890        55.2056        5.43128        17.9580        100.000        6.39890        4.87740        4.87740     
  23.6000        237.000        40.2877        56.7729        6.47267        55.2713        5.50446        18.0025        100.000        6.47267        4.93923        4.93923     
  23.7000        238.000        40.3802        56.7156        6.50767        55.3269        5.53874        18.0387        100.000        6.50767        4.98101        4.98101     
  23.8000        239.000        40.4852        56.6603        6.53962        55.3841        5.57004        18.0816        100.000        6.53962        5.01481        5.01481     
  23.9000        240.000        40.5633        56.6115        6.61494        55.4502        5.64475        18.1270        100.000        6.61494        5.07798        5.07798     
  24.0000        241.000        40.6582        56.5575        6.61249        55.5059        5.64154        18.1879        100.000        6.61249        5.09964        5.09964     
  24.1000        242.000        40.7727        56.5060        6.69737        55.5707        5.72593        18.2219        100.000        6.69737        5.15295        5.15295     
  24.2000        243.000        40.8588        56.4496        6.70692        55.6257        5.73468        18.2726        100.000        6.70692        5.18556        5.18556     
  24.3000        244.000        40.9521        56.4039        6.76013        55.6932        5.78734        18.3358        100.000        6.76013        5.23001        5.23001     
  24.4000        245.000        41.0434        56.3525        6.81829        55.7565        5.84486        18.3817        100.000        6.81829        5.28072        5.28072     
  24.5000        246.000        41.1484        56.2951        6.84597        55.8125        5.87185        18.4229        100.000        6.84597        5.31409        5.31409     
  24.6000        247.000        41.2362        56.2445        6.91059        55.8773        5.93585        18.4692        100.000        6.91059        5.36914        5.36914     
  24.7000        248.000        41.3102        56.1916        6.97987        55.9407        6.00443        18.5084        100.000        6.97987        5.43372        5.43372     
  24.8000        249.000        41.4127        56.1317        7.00294        55.9946        6.02675        18.5454        100.000        7.00294        5.46752        5.46752     
  24.9000        250.000        41.2900        56.1105        7.42508        56.1105        6.44872        18.5286        100.000        7.42508        5.76492        5.76492     
  25.0000        251.000        41.9008        55.9691        5.90458        55.9691        4.92581        18.9195        100.000        5.90458        4.88605        4.88605     
  25.1000        252.000        42.2423        56.1682        6.38998        56.1682        5.41576        19.3541        100.000        6.38998        4.88061        4.88061     
  25.2000        253.000        42.3067        56.1472        6.39505        56.1472        5.42052        19.3876        100.000        6.39505        4.88904        4.88904     
  25.3000        254.000        42.3797        56.1267        6.39529        56.1267        5.42048        19.4247        100.000        6.39529        4.89112        4.89112     
  25.4000        255.000        42.4541        56.1072        6.39772        56.1072        5.42266        19.4637        100.000        6.39772        4.89309        4.89309     
  25.5000        256.000        42.5235        56.0887        6.40686        56.0887        5.43155        19.5024        100.000        6.40686        4.89992        4.89992     
  25.6000        257.000        42.5872        56.0711        6.41226        56.0711        5.43667        19.5461        100.000        6.41226        4.90708        4.90708     
  25.7000        258.000        42.6625        56.0541        6.39410        56.0541        5.41826        19.6020        100.000        6.39410        4.89795        4.89795     
  25.8000        259.000        42.7335        56.0417        6.40936        56.0417        5.43337        19.6557        100.000        6.40936        4.90382        4.90382     
  25.9000        260.000        42.8038        56.0234        6.41916        56.0234        5.44293        19.6953        100.000        6.41916        4.91053        4.91053     
  26.0000        261.000        42.8777        56.0030        6.41955        56.0030        5.44304        19.7330        100.000        6.41955        4.91232        4.91232     
  26.1000        262.000        42.9527        55.9834        6.42170        55.9834        5.44495        19.7722        100.000        6.42170        4.91400        4.91400     
  26.2000        263.000        43.0217        55.9650        6.43197        55.9650        5.45497        19.8110        100.000        6.43197        4.92157        4.92157     
  26.3000        264.000        43.0787        55.9476        6.45484        55.9476        5.47758        19.8475        100.000        6.45484        4.93991        4.93991     
  26.4000        265.000        43.1450        55.9261        6.45800        55.9261        5.48045        19.8808        100.000        6.45800        4.94675        4.94675     
  26.5000        266.000        43.2193        55.9055        6.45777        55.9055        5.47997        19.9178        100.000        6.45777        4.94807        4.94807     
  26.6000        267.000        43.2815        55.8883        6.47728        55.8883        5.49926        19.9554        100.000        6.47728        4.96213        4.96213     
  26.7000        268.000        43.3645        55.8644        6.46027        55.8644        5.48198        19.9904        100.000        6.46027        4.95338        4.95338     
  26.8000        269.000        43.4260        55.8493        6.48717        55.8493        5.50870        20.0307        100.000        6.48717        4.97004        4.97004     
  26.9000        270.000        43.4901        55.8283        6.49391        55.8283        5.51517        20.0637        100.000        6.49391        4.97928        4.97928     
  27.0000        271.000        43.5642        55.8071        6.49231        55.8071        5.51331        20.0997        100.000        6.49231        4.98028        4.98028     
  27.1000        272.000        43.6402        55.7873        6.49359        55.7873        5.51437        20.1382        100.000        6.49359        4.98112        4.98112     
  27.2000        273.000        43.7163        55.7674        6.49487        55.7674        5.51543        20.1767        100.000        6.49487        4.98197        4.98197     
  27.3000        274.000        43.7792        55.7504        6.51057        55.7504        5.53091        20.2171        100.000        6.51057        4.99394        4.99394     
  27.4000        275.000        43.8539        55.7312        6.48832        55.7312        5.50840        20.2692        100.000        6.48832        4.98416        4.98416     
  27.5000        276.000        43.9322        55.7180        6.48796        55.7180        5.50792        20.3275        100.000        6.48796        4.97985        4.97985     
  27.6000        277.000        43.9956        55.7038        6.51665        55.7038        5.53645        20.3697        100.000        6.51665        4.99613        4.99613     
  27.7000        278.000        44.0695        55.6809        6.51083        55.6809        5.53036        20.4034        100.000        6.51083        4.99619        4.99619     
  27.8000        279.000        44.1470        55.6609        6.51097        55.6609        5.53029        20.4422        100.000        6.51097        4.99590        4.99590     
  27.9000        280.000        44.2247        55.6409        6.51111        55.6409        5.53022        20.4810        100.000        6.51111        4.99562        4.99562     
  28.0000        281.000        44.2921        55.6228        6.52504        55.6228        5.54394        20.5192        100.000        6.52504        5.00532        5.00532     
  28.1000        282.000        44.3506        55.6043        6.54462        55.6043        5.56329        20.5540        100.000        6.54462        5.02188        5.02188     
  28.2000        283.000        44.4252        55.5814        6.53850        55.5814        5.55689        20.5879        100.000        6.53850        5.02168        5.02168     
  28.3000        284.000        44.5033        55.5613        6.53841        55.5613        5.55658        20.6270        100.000        6.53841        5.02116        5.02116     
  28.4000        285.000        44.5816        55.5412        6.53831        55.5412        5.55627        20.6660        100.000        6.53831        5.02063        5.02063     
  28.5000        286.000        44.6492        55.5231        6.55259        55.5231        5.57034        20.7044        100.000        6.55259        5.03049        5.03049     
  28.6000        287.000        44.7080        55.5044        6.57192        55.5044        5.58945        20.7390        100.000        6.57192        5.04690        5.04690     
  28.7000        288.000        44.7759        55.4841        6.56308        55.4841        5.58033        20.7821        100.000        6.56308        5.04713        5.04713     
  28.8000        289.000        44.8559        55.4677        6.54606        55.4677        5.56313        20.8397        100.000        6.54606        5.03604        5.03604     
  28.9000        290.000        44.9390        55.4508        6.56405        55.4508        5.58101        20.8791        100.000        6.56405        5.03994        5.03994     
  29.0000        291.000        45.0139        55.4262        6.58504        55.4262        5.60176        20.8955        100.000        6.58504        5.05302        5.05302     
  29.1000        292.000        45.0745        55.4036        6.58274        55.4036        5.59915        20.9298        100.000        6.58274        5.06075        5.06075     
  29.2000        293.000        45.1525        55.3852        6.56142        55.3852        5.57760        20.9841        100.000        6.56142        5.04971        5.04971     
  29.3000        294.000        45.2301        55.3719        6.56611        55.3719        5.58218        21.0405        100.000        6.56611        5.04819        5.04819     
  29.4000        295.000        45.2942        55.3564        6.59175        55.3564        5.60767        21.0814        100.000        6.59175        5.06360        5.06360     
  29.5000        296.000        45.3696        55.3334        6.58586        55.3334        5.60151        21.1156        100.000        6.58586        5.06335        5.06335     
  29.6000        297.000        45.4483        55.3131        6.58569        55.3131        5.60113        21.1545        100.000        6.58569        5.06273        5.06273     
  29.7000        298.000        45.5271        55.2927        6.58549        55.2927        5.60073        21.1934        100.000        6.58549        5.06211        5.06211     
  29.8000        299.000        45.5985        55.2738        6.59533        55.2738        5.61038        21.2319        100.000        6.59533        5.06875        5.06875     
  29.9000        300.000        45.6590        55.2554        6.61518        55.2554        5.63002        21.2675        100.000        6.61518        5.08467        5.08467     
  30.0000        301.000        45.7314        55.2328        6.61334        55.2328        5.62791        21.3014        100.000        6.61334        5.08742        5.08742     
  30.1000        302.000        45.8102        55.2118        6.61155        55.2118        5.62591        21.3395        100.000        6.61155        5.08649        5.08649     
  30.2000        303.000        45.8896        55.1914        6.61118        55.1914        5.62534        21.3786        100.000        6.61118        5.08562        5.08562     
  30.3000        304.000        45.9654        55.1716        6.61536        55.1716        5.62934        21.4173        100.000        6.61536        5.08807        5.08807     
  30.4000        305.000        46.0273        55.1537        6.63625        55.1537        5.65003        21.4540        100.000        6.63625        5.10358        5.10358     
  30.5000        306.000        46.0898        55.1334        6.64463        55.1334        5.65816        21.4901        100.000        6.64463        5.11438        5.11438     
  30.6000        307.000        46.1681        55.1136        6.61986        55.1136        5.63315        21.5430        100.000        6.61986        5.10244        5.10244     
  30.7000        308.000        46.2514        55.0994        6.61837        55.0994        5.63156        21.6000        100.000        6.61837        5.09611        5.09611     
  30.8000        309.000        46.3351        55.0781        6.64666        55.0781        5.65971        21.6228        100.000        6.64666        5.10696        5.10696     
  30.9000        310.000        46.4079        55.0523        6.63703        55.0523        5.64978        21.6519        100.000        6.63703        5.10776        5.10776     
  31.0000        311.000        46.4827        55.0344        6.62398        55.0344        5.63650        21.7059        100.000        6.62398        5.10222        5.10222     
  31.1000        312.000        46.5559        55.0205        6.63311        55.0205        5.64548        21.7603        100.000        6.63311        5.10554        5.10554     
  31.2000        313.000        46.6121        55.0054        6.66754        55.0054        5.67972        21.8000        100.000        6.66754        5.12881        5.12881     
  31.3000        314.000        46.6826        54.9816        6.66510        54.9816        5.67698        21.8326        100.000        6.66510        5.13322        5.13322     
  31.4000        315.000        46.7642        54.9598        6.65990        54.9598        5.67155        21.8714        100.000        6.65990        5.13019        5.13019     
  31.5000        316.000        46.8422        54.9402        6.66416        54.9402        5.67560        21.9120        100.000        6.66416        5.13209        5.13209     
  31.6000        317.000        46.9160        54.9203        6.67080        54.9203        5.68202        21.9508        100.000        6.67080        5.13712        5.13712     
  31.7000        318.000        46.9831        54.9010        6.68455        54.9010        5.69557        21.9875        100.000        6.68455        5.14792        5.14792     
  31.8000        319.000        47.0485        54.8806        6.69676        54.8806        5.70753        22.0231        100.000        6.69676        5.15967        5.15967     
  31.9000        320.000        47.1273        54.8577        6.69068        54.8577        5.70122        22.0588        100.000        6.69068        5.15793        5.15793     
  32.0000        321.000        47.2101        54.8367        6.68755        54.8367        5.69788        22.0992        100.000        6.68755        5.15504        5.15504     
  32.1000        322.000        47.2934        54.8160        6.68505        54.8160        5.69517        22.1402        100.000        6.68505        5.15211        5.15211     
  32.2000        323.000        47.3598        54.7985        6.70523        54.7985        5.71516        22.1798        100.000        6.70523        5.16554        5.16554     
  32.3000        324.000        47.4281        54.7780        6.70370        54.7780        5.71338        22.2217        100.000        6.70370        5.16956        5.16956     
  32.4000        325.000        47.5114        54.7597        6.67867        54.7597        5.68814        22.2799        100.000        6.67867        5.15489        5.15489     
  32.5000        326.000        47.5902        54.7468        6.68928        54.7468        5.69868        22.3362        100.000        6.68928        5.15575        5.15575     
  32.6000        327.000        47.6658        54.7280        6.69881        54.7280        5.70803        22.3770        100.000        6.69881        5.16067        5.16067     
  32.7000        328.000        47.7475        54.7058        6.69340        54.7058        5.70240        22.4151        100.000        6.69340        5.15785        5.15785     
  32.8000        329.000        47.8308        54.6850        6.69084        54.6850        5.69965        22.4556        100.000        6.69084        5.15488        5.15488     
  32.9000        330.000        47.9120        54.6645        6.69119        54.6645        5.69981        22.4960        100.000        6.69119        5.15401        5.15401     
  33.0000        331.000        47.9763        54.6468        6.71300        54.6468        5.72143        22.5346        100.000        6.71300        5.16925        5.16925     
  33.1000        332.000        48.0472        54.6244        6.71599        54.6244        5.72416        22.5692        100.000        6.71599        5.17535        5.17535     
  33.2000        333.000        48.1282        54.6021        6.71146        54.6021        5.71941        22.6072        100.000        6.71146        5.17338        5.17338     
  33.3000        334.000        48.2098        54.5814        6.71104        54.5814        5.71880        22.6474        100.000        6.71104        5.17216        5.17216     
  33.4000        335.000        48.2910        54.5606        6.71070        54.5606        5.71827        22.6872        100.000        6.71070        5.17128        5.17128     
  33.5000        336.000        48.3525        54.5433        6.73662        54.5433        5.74401        22.7257        100.000        6.73662        5.18948        5.18948     
  33.6000        337.000        48.4107        54.5227        6.75548        54.5227        5.76259        22.7592        100.000        6.75548        5.20807        5.20807     
  33.7000        338.000        48.4871        54.4987        6.75025        54.4987        5.75707        22.7944        100.000        6.75025        5.20908        5.20908     
  33.8000        339.000        48.5723        54.4769        6.74441        54.4769        5.75100        22.8351        100.000        6.74441        5.20468        5.20468     
  33.9000        340.000        48.6590        54.4558        6.73964        54.4558        5.74603        22.8772        100.000        6.73964        5.19965        5.19965     
  34.0000        341.000        48.7321        54.4374        6.75358        54.4374        5.75978        22.9185        100.000        6.75358        5.20804        5.20804     
  34.1000        342.000        48.8101        54.4172        6.73536        54.4172        5.74131        22.9705        100.000        6.73536        5.20041        5.20041     
  34.2000        343.000        48.9000        54.4018        6.71181        54.4018        5.71760        23.0373        100.000        6.71181        5.18229        5.18229     
  34.3000        344.000        48.9724        54.3899        6.74595        54.3899        5.75168        23.0872        100.000        6.74595        5.19676        5.19676     
  34.4000        345.000        49.0565        54.3652        6.73271        54.3652        5.73816        23.1236        100.000        6.73271        5.19109        5.19109     
  34.5000        346.000        49.1453        54.3440        6.72638        54.3440        5.73163        23.1665        100.000        6.72638        5.18455        5.18455     
  34.6000        347.000        49.2329        54.3231        6.72204        54.3231        5.72711        23.2092        100.000        6.72204        5.17922        5.17922     
  34.7000        348.000        49.3063        54.3046        6.73600        54.3046        5.74089        23.2503        100.000        6.73600        5.18751        5.18751     
  34.8000        349.000        49.3906        54.2811        6.72662        54.2811        5.73127        23.2882        100.000        6.72662        5.18272        5.18272     
  34.9000        350.000        49.4776        54.2599        6.72197        54.2599        5.72644        23.3300        100.000        6.72197        5.17766        5.17766     
  35.0000        351.000        49.5638        54.2389        6.71848        54.2389        5.72276        23.3718        100.000        6.71848        5.17344        5.17344     
  35.1000        352.000        49.6304        54.2213        6.74097        54.2213        5.74508        23.4120        100.000        6.74097        5.18825        5.18825     
  35.2000        353.000        49.7098        54.1995        6.71567        54.1995        5.71950        23.4632        100.000        6.71567        5.17761        5.17761     
  35.3000        354.000        49.8019        54.1841        6.69489        54.1841        5.69860        23.5290        100.000        6.69489        5.15984        5.15984     
  35.4000        355.000        49.8954        54.1644        6.72829        54.1644        5.73193        23.5559        100.000        6.72829        5.16854        5.16854     
  35.5000        356.000        49.9767        54.1369        6.70810        54.1369        5.71143        23.5888        100.000        6.70810        5.16238        5.16238     
  35.6000        357.000        50.0676        54.1188        6.67297        54.1188        5.67609        23.6552        100.000        6.67297        5.14031        5.14031     
  35.7000        358.000        50.1440        54.1078        6.70559        54.1078        5.70867        23.7085        100.000        6.70559        5.15199        5.15199     
  35.8000        359.000        50.2325        54.0829        6.68974        54.0829        5.69254        23.7467        100.000        6.68974        5.14346        5.14346     
  35.9000        360.000        50.3138        54.0636        6.69595        54.0636        5.69861        23.7889        100.000        6.69595        5.14486        5.14486     
  36.0000        361.000        50.4073        54.0396        6.67877        54.0396        5.68124        23.8288        100.000        6.67877        5.13259        5.13259     
  36.1000        362.000        50.4775        54.0229        6.70145        54.0229        5.70380        23.8709        100.000        6.70145        5.14525        5.14525     
  36.2000        363.000        50.5675        53.9972        6.68221        53.9972        5.68432        23.9074        100.000        6.68221        5.13464        5.13464     
  36.3000        364.000        50.6573        53.9765        6.67779        53.9765        5.67975        23.9505        100.000        6.67779        5.12811        5.12811     
  36.4000        365.000        50.7451        53.9553        6.67383        53.9553        5.67559        23.9935        100.000        6.67383        5.12350        5.12350     
  36.5000        366.000        50.8278        53.9369        6.65876        53.9369        5.66031        24.0503        100.000        6.65876        5.11456        5.11456     
  36.6000        367.000        50.9219        53.9209        6.63076        53.9209        5.63218        24.1188        100.000        6.63076        5.09305        5.09305     
  36.7000        368.000        51.0194        53.9052        6.63470        53.9052        5.63606        24.1717        100.000        6.63470        5.08451        5.08451     
  36.8000        369.000        51.1109        53.8837        6.62717        53.8837        5.62835        24.2153        100.000        6.62717        5.07658        5.07658     
  36.9000        370.000        51.2025        53.8622        6.61963        53.8622        5.62063        24.2590        100.000        6.61963        5.06864        5.06864     
  37.0000        371.000        51.2875        53.8420        6.62119        53.8420        5.62201        24.3023        100.000        6.62119        5.06728        5.06728     
  37.1000        372.000        51.3783        53.8193        6.61085        53.8193        5.61146        24.3441        100.000        6.61085        5.05915        5.05915     
  37.2000        373.000        51.4697        53.7979        6.60388        53.7979        5.60432        24.3875        100.000        6.60388        5.05141        5.05141     
  37.3000        374.000        51.5551        53.7774        6.60449        53.7774        5.60478        24.4302        100.000        6.60449        5.04944        5.04944     
  37.4000        375.000        51.6486        53.7542        6.59089        53.7542        5.59098        24.4720        100.000        6.59089        5.03878        5.03878     
  37.5000        376.000        51.7429        53.7327        6.58188        53.7327        5.58177        24.5175        100.000        6.58188        5.02933        5.02933     
  37.6000        377.000        51.8327        53.7129        6.57155        53.7129        5.57128        24.5672        100.000        6.57155        5.02003        5.02003     
  37.7000        378.000        51.9284        53.6954        6.53312        53.6954        5.53265        24.6382        100.000        6.53312        4.99435        4.99435     
  37.8000        379.000        52.0270        53.6820        6.53442        53.6820        5.53390        24.7001        100.000        6.53442        4.98315        4.98315     
  37.9000        380.000        52.1232        53.6613        6.52625        53.6613        5.52559        24.7460        100.000        6.52625        4.97229        4.97229     
  38.0000        381.000        52.2161        53.6401        6.51922        53.6401        5.51838        24.7913        100.000        6.51922        4.96430        4.96430     
  38.1000        382.000        52.3074        53.6192        6.50975        53.6192        5.50871        24.8389        100.000        6.50975        4.95562        4.95562     
  38.2000        383.000        52.4029        53.5979        6.49954        53.5979        5.49832        24.8852        100.000        6.49954        4.94495        4.94495     
  38.3000        384.000        52.4984        53.5765        6.48918        53.5765        5.48777        24.9316        100.000        6.48918        4.93421        4.93421     
  38.4000        385.000        52.5919        53.5574        6.46700        53.5574        5.46538        24.9914        100.000        6.46700        4.91828        4.91828     
  38.5000        386.000        52.6912        53.5408        6.44637        53.5408        5.44462        25.0558        100.000        6.44637        4.89847        4.89847     
  38.6000        387.000        52.7905        53.5195        6.47422        53.5195        5.47239        25.0830        100.000        6.47422        4.90341        4.90341     
  38.7000        388.000        52.8790        53.4932        6.43381        53.4932        5.43165        25.1317        100.000        6.43381        4.88501        4.88501     
  38.8000        389.000        52.9791        53.4774        6.41082        53.4774        5.40855        25.1991        100.000        6.41082        4.86319        4.86319     
  38.9000        390.000        53.0789        53.4603        6.41079        53.4603        5.40841        25.2527        100.000        6.41079        4.85326        4.85326     
  39.0000        391.000        53.1767        53.4394        6.38730        53.4394        5.38479        25.3050        100.000        6.38730        4.83467        4.83467     
  39.1000        392.000        53.2750        53.4195        6.39043        53.4195        5.38766        25.3541        100.000        6.39043        4.82988        4.82988     
  39.2000        393.000        53.3735        53.4270        6.08835        53.4270        5.08613        25.5964        100.000        6.08835        4.65837        4.65837     
  39.3000        394.000        53.5067        53.5067        5.90220        53.5067        4.90089        25.9678        100.000        5.90220        4.48964        4.48964     
  39.4000        395.000        53.6233        53.6233        5.55176        53.6233        4.55145        26.4862        100.000        5.55176        4.22806        4.22806     
  39.5000        396.000        53.7370        53.7370        5.77924        53.7370        4.78103        26.6584        100.000        5.77924        4.22583        4.22583     
  39.6000        397.000        53.7432        53.7432        5.78539        53.7432        4.78696        26.6613        100.000        5.78539        4.23245        4.23245     
  39.7000        398.000        53.7498        53.7498        5.79108        53.7498        4.79242        26.6658        100.000        5.79108        4.23836        4.23836     
  39.8000        399.000        53.7568        53.7568        5.79733        53.7568        4.79846        26.6708        100.000        5.79733        4.24424        4.24424     
  39.9000        400.000        53.7637        53.7637        5.80360        53.7637        4.80450        26.6758        100.000        5.80360        4.25013        4.25013     
  40.0000        401.000        53.7707        53.7707        5.80986        53.7707        4.81055        26.6809        100.000        5.80986        4.25601        4.25601     
  40.1000        402.000        53.7777        53.7777        5.81613        53.7777        4.81660        26.6859        100.000        5.81613        4.26191        4.26191     
  40.2000        403.000        53.7840        53.7840        5.82974        53.7840        4.82999        26.6848        100.000        5.82974        4.27170        4.27170     
  40.3000        404.000        53.7884        53.7884        5.84368        53.7884        4.84369        26.6783        100.000        5.84368        4.28355        4.28355     
  40.4000        405.000        53.7921        53.7921        5.85587        53.7921        4.85561        26.6708        100.000        5.85587        4.29537        4.29537     
  40.5000        406.000        53.7965        53.7965        5.86081        53.7965        4.86028        26.6693        100.000        5.86081        4.30331        4.30331     
  40.6000        407.000        53.8024        53.8024        5.86901        53.8024        4.86825        26.6704        100.000        5.86901        4.31111        4.31111     
  40.7000        408.000        53.8084        53.8084        5.87721        53.8084        4.87621        26.6715        100.000        5.87721        4.31891        4.31891     
  40.8000        409.000        53.8143        53.8143        5.88541        53.8143        4.88418        26.6726        100.000        5.88541        4.32671        4.32671     
  40.9000        410.000        53.8203        53.8203        5.89362        53.8203        4.89216        26.6738        100.000        5.89362        4.33452        4.33452     
  41.0000        411.000        53.8263        53.8263        5.90187        53.8263        4.90018        26.6748        100.000        5.90187        4.34236        4.34236     
  41.1000        412.000        53.8322        53.8322        5.91012        53.8322        4.90819        26.6759        100.000        5.91012        4.35020        4.35020     
  41.2000        413.000        53.8381        53.8381        5.92198        53.8381        4.91986        26.6760        100.000        5.92198        4.36042        4.36042     
  41.3000        414.000        53.8435        53.8435        5.92874        53.8435        4.92637        26.6763        100.000        5.92874        4.36814        4.36814     
  41.4000        415.000        53.8494        53.8494        5.94100        53.8494        4.93844        26.6763        100.000        5.94100        4.37856        4.37856     
  41.5000        416.000        53.8546        53.8546        5.95157        53.8546        4.94881        26.6754        100.000        5.95157        4.38886        4.38886     
  41.6000        417.000        53.8600        53.8600        5.95863        53.8600        4.95562        26.6756        100.000        5.95863        4.39679        4.39679     
  41.7000        418.000        53.8658        53.8658        5.97053        53.8658        4.96732        26.6757        100.000        5.97053        4.40704        4.40704     
  41.8000        419.000        53.8711        53.8711        5.98122        53.8711        4.97781        26.6748        100.000        5.98122        4.41735        4.41735     
  41.9000        420.000        53.8763        53.8763        5.99003        53.8763        4.98638        26.6735        100.000        5.99003        4.42621        4.42621     
  42.0000        421.000        53.8816        53.8816        6.00376        53.8816        4.99991        26.6709        100.000        6.00376        4.43789        4.43789     
  42.1000        422.000        53.8861        53.8861        6.01592        53.8861        5.01185        26.6670        100.000        6.01592        4.44965        4.44965     
  42.2000        423.000        53.8903        53.8903        6.02938        53.8903        5.02505        26.6600        100.000        6.02938        4.46164        4.46164     
  42.3000        424.000        53.8943        53.8943        6.04059        53.8943        5.03603        26.6554        100.000        6.04059        4.47346        4.47346     
  42.4000        425.000        53.8987        53.8987        6.05295        53.8987        5.04811        26.6507        100.000        6.05295        4.48523        4.48523     
  42.5000        426.000        53.9028        53.9028        6.06636        53.9028        5.06126        26.6435        100.000        6.06636        4.49727        4.49727     
  42.6000        427.000        53.9069        53.9069        6.07751        53.9069        5.07219        26.6390        100.000        6.07751        4.50910        4.50910     
  42.7000        428.000        53.9114        53.9114        6.08974        53.9114        5.08420        26.6351        100.000        6.08974        4.52090        4.52090     
  42.8000        429.000        53.9156        53.9156        6.10326        53.9156        5.09746        26.6281        100.000        6.10326        4.53294        4.53294     
  42.9000        430.000        53.9202        53.9202        6.10866        53.9202        5.10263        26.6283        100.000        6.10866        4.54171        4.54171     
  43.0000        431.000        53.9266        53.9266        6.11636        53.9266        5.11014        26.6323        100.000        6.11636        4.54964        4.54964     
  43.1000        432.000        53.9323        53.9323        6.13368        53.9323        5.12723        26.6272        100.000        6.13368        4.56189        4.56189     
  43.2000        433.000        53.9378        53.9378        6.12580        53.9378        5.11911        26.6379        100.000        6.12580        4.56378        4.56378     
  43.3000        434.000        53.9470        53.9470        6.13925        53.9470        5.13243        26.6464        100.000        6.13925        4.57144        4.57144     
  43.4000        435.000        53.9517        53.9517        6.16896        53.9517        5.16192        26.6310        100.000        6.16896        4.59028        4.59028     
  43.5000        436.000        53.9556        53.9556        6.14322        53.9556        5.13588        26.6477        100.000        6.14322        4.58586        4.58586     
  43.6000        437.000        53.9675        53.9675        6.16216        53.9675        5.15475        26.6605        100.000        6.16216        4.59327        4.59327     
  43.7000        438.000        53.9711        53.9711        6.20430        53.9711        5.19667        26.6349        100.000        6.20430        4.61870        4.61870     
  43.8000        439.000        53.9735        53.9735        6.16067        53.9735        5.15267        26.6575        100.000        6.16067        4.60797        4.60797     
  43.9000        440.000        53.9842        53.9842        6.22835        53.9842        5.22029        26.6382        100.000        6.22835        4.63796        4.63796     
  44.0000        441.000        53.9842        53.9842        6.18532        53.9842        5.17681        26.6523        100.000        6.18532        4.62929        4.62929     
  44.1000        442.000        53.9971        53.9971        6.21448        53.9971        5.20593        26.6618        100.000        6.21448        4.64032        4.64032     
  44.2000        443.000        54.0017        54.0017        6.22683        54.0017        5.21806        26.6579        100.000        6.22683        4.65221        4.65221     
  44.3000        444.000        54.0040        54.0040        6.26258        54.0040        5.25356        26.6326        100.000        6.26258        4.67608        4.67608     
  44.4000        445.000        54.0052        54.0052        6.24205        54.0052        5.23268        26.6385        100.000        6.24205        4.67679        4.67679     
  44.5000        446.000        54.0146        54.0146        6.26411        54.0146        5.25463        26.6423        100.000        6.26411        4.68823        4.68823     
  44.6000        447.000        54.0181        54.0181        6.28691        54.0181        5.27717        26.6277        100.000        6.28691        4.70524        4.70524     
  44.7000        448.000        54.0210        54.0210        6.28509        54.0210        5.27508        26.6274        100.000        6.28509        4.71257        4.71257     
  44.8000        449.000        54.0275        54.0275        6.30146        54.0275        5.29128        26.6266        100.000        6.30146        4.72431        4.72431     
  44.9000        450.000        54.0321        54.0321        6.31133        54.0321        5.30087        26.6228        100.000        6.31133        4.73449        4.73449     
  45.0000        451.000        54.0374        54.0374        6.32076        54.0374        5.31010        26.6225        100.000        6.32076        4.74448        4.74448     
  45.1000        452.000        54.0428        54.0428        6.33255        54.0428        5.32161        26.6209        100.000        6.33255        4.75509        4.75509     
  45.2000        453.000        54.0481        54.0481        6.34187        54.0481        5.33066        26.6203        100.000        6.34187        4.76479        4.76479     
